rank,Ticker,start_date,end_date,start_price,end_price,six_month_momentum,six_month_momentum_percent,trading_days
46,MDLZ,2025-12-01,2026-05-29,55.405792236328125,61.16999816894531,0.1040361612018923,10.40361612018923,124
47,GILD,2025-12-01,2026-05-29,122.81672668457031,134.42999267578125,0.09455769018366067,9.455769018366066,124
48,SNPS,2025-12-01,2026-05-29,438.2900085449219,475.6199951171875,0.0851718858392354,8.517188583923542,124
49,KDP,2025-12-01,2026-05-29,27.694076538085938,30.030000686645508,0.08434742878489265,8.434742878489265,124
50,PCAR,2025-12-01,2026-05-29,102.08084869384766,110.37000274658203,0.0812018528332823,8.12018528332823,124
51,AEP,2025-12-01,2026-05-29,118.70256042480469,126.66999816894531,0.06712102683907828,6.712102683907828,124
52,FER,2025-12-01,2026-05-29,64.09442901611328,68.01000213623047,0.061090693531770324,6.109069353177032,124
53,COST,2025-12-01,2026-05-29,909.3963012695312,956.3200073242188,0.0515987430223559,5.15987430223559,124
54,VRTX,2025-12-01,2026-05-29,425.6000061035156,447.5400085449219,0.05155075687679833,5.155075687679833,124
55,WMT,2025-12-01,2026-05-29,110.86358642578125,115.75,0.044075911052092964,4.407591105209296,124
56,CMCSA,2025-12-01,2026-05-29,24.339303970336914,24.8700008392334,0.021804110320626346,2.1804110320626346,124
57,TSLA,2025-12-01,2026-05-29,430.1400146484375,435.7900085449219,0.013135243651075434,1.3135243651075434,124
58,AMGN,2025-12-01,2026-05-29,332.655517578125,336.7900085449219,0.01242874610016309,1.242874610016309,124
59,XEL,2025-12-01,2026-05-29,78.53881072998047,79.5,0.012238398583906962,1.2238398583906962,124
60,EXC,2025-12-01,2026-05-29,45.302093505859375,45.63999938964844,0.007458946323205984,0.7458946323205984,124
61,EA,2025-12-01,2026-05-29,202.0481719970703,201.72000122070312,-0.0016242204674434824,-0.16242204674434824,124
62,CCEP,2025-12-01,2026-05-29,91.3541488647461,90.69000244140625,-0.007270019277648143,-0.7270019277648143,124
63,META,2025-12-01,2026-05-29,639.7999877929688,632.510009765625,-0.011394151557412524,-1.1394151557412524,124
64,APP,2025-12-01,2026-05-29,623.5900268554688,613.0900268554688,-0.01683798577239537,-1.683798577239537,124
65,PEP,2025-12-01,2026-05-29,146.750732421875,144.19000244140625,-0.01744952095439789,-1.744952095439789,124
66,KHC,2025-12-01,2026-05-29,24.951181411743164,24.010000228881836,-0.03772090657071514,-3.772090657071514,124
67,PLTR,2025-12-01,2026-05-29,167.49000549316406,156.5399932861328,-0.06537710817304954,-6.537710817304953,124
68,MSFT,2025-12-01,2026-05-29,484.5820007324219,450.239990234375,-0.07086934811062029,-7.086934811062029,124
69,CTAS,2025-12-01,2026-05-29,184.50282287597656,171.25999450683594,-0.07177574935014686,-7.177574935014686,124
70,MSTR,2025-12-01,2026-05-29,171.4199981689453,159.08999633789062,-0.0719286078798268,-7.19286078798268,124
71,TMUS,2025-12-01,2026-05-29,204.53146362304688,187.52999877929688,-0.08312395825360075,-8.312395825360074,124
72,TTWO,2025-12-01,2026-05-29,249.33999633789062,224.16000366210938,-0.10098657674502742,-10.098657674502743,124
73,PAYX,2025-12-01,2026-05-29,108.01309204101562,96.9800033569336,-0.10214584617105915,-10.214584617105915,124
74,ADP,2025-12-01,2026-05-29,252.11375427246094,221.83999633789062,-0.12007975535461368,-12.007975535461368,124
75,BKNG,2025-12-01,2026-05-29,194.85423278808594,167.42999267578125,-0.1407423370788664,-14.074233707886641,124
76,ORLY,2025-12-01,2026-05-29,101.23999786376953,86.87999725341797,-0.14184117851992306,-14.184117851992307,124
77,AXON,2025-12-01,2026-05-29,533.2100219726562,448.7200012207031,-0.15845542519882694,-15.845542519882693,124
78,CPRT,2025-12-01,2026-05-29,39.150001525878906,32.77000045776367,-0.1629629838940857,-16.29629838940857,124
79,REGN,2025-12-01,2026-05-29,748.0913696289062,614.780029296875,-0.178201949312904,-17.820194931290402,124
80,MELI,2025-12-01,2026-05-29,2064.550048828125,1695.6500244140625,-0.178683013581316,-17.8683013581316,124
81,CEG,2025-12-01,2026-05-29,358.0132141113281,287.75,-0.1962587171139415,-19.62587171139415,124
82,ADBE,2025-12-01,2026-05-29,322.8500061035156,259.2099914550781,-0.19711944694228245,-19.711944694228244,124
83,SHOP,2025-12-01,2026-05-29,149.27999877929688,118.70999908447266,-0.20478295782960487,-20.478295782960487,124
84,NFLX,2025-12-01,2026-05-29,109.12999725341797,86.0199966430664,-0.21176579485002922,-21.17657948500292,124
85,GEHC,2025-12-01,2026-05-29,79.1700210571289,62.34000015258789,-0.21258073043073356,-21.258073043073356,124
